Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",League,Focus Position,Rank,Status
T. Dolan,Blackburn Rovers,Blackburn Rovers,"CF, RAMF, AMF",19,2000000,2024-06-30,10,681,2,1.77,1,0.69,21.28,27.95,England,England,right,170,55,no,4.76,3.96,56.67,2.51,0.0,0.26,0.33,0.13,2.25,2.77,0.66,3,0.4,0,0.0,2.78,0.26,2,0.26,0.23,0,0.0,10,1.32,70.0,20.0,0.13,1.19,33.33,0.53,25.0,0.66,40.0,0.4,3.7,32.14,11.37,23.26,1.98,1.98,1.06,15.07,0.66,0.93,20.48,81.94,3.57,55.56,8.59,98.46,3.83,75.86,18.77,85.92,0.53,50.0,13.49,12.87,0.09,0.79,0.13,0.0,0.53,50.0,0.53,0.93,42.86,1.85,42.86,0.53,50.0,0.66,0.53,1.45,63.64,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0,0.0,0,0,English Championship,Wingers,0,0
B. De Cordova-Reid,Fulham,Fulham,"LAMF, AMF, RB",28,10000000,2023-06-30,9,681,1,2.06,3,1.48,17.44,46.21,England,"England, Jamaica",right,170,68,no,7.8,6.48,67.35,1.72,46.15,0.66,1.01,0.13,2.78,4.23,1.06,2,0.26,0,0.0,2.91,0.13,1,0.13,0.27,0,0.0,15,1.98,33.33,6.667,0.4,1.45,27.27,0.66,20.0,0.79,33.33,0.66,3.83,34.48,7.53,33.33,3.44,1.32,0.53,26.96,3.04,0.66,34.63,83.21,8.19,66.13,7.14,96.3,12.56,87.37,31.19,87.71,1.98,53.33,18.13,31.72,0.2,1.45,0.26,0.13,1.45,36.36,0.79,3.96,70.0,2.51,52.63,1.59,33.33,1.59,0.4,5.55,80.95,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0,0.13,0,0,English Championship,Wingers,0,0
L. Sibley,Derby County,Derby County,"RAMF, AMF, LW",20,3000000,2024-06-30,9,664,0,0.77,0,1.08,23.18,30.41,England,England,left,180,74,no,5.96,5.69,50.0,1.63,0.0,0.27,0.37,0.27,2.85,3.89,1.76,4,0.54,0,0.0,2.44,0.0,0,0.0,0.1,0,0.0,11,1.49,27.27,0.0,0.0,1.22,33.33,0.68,40.0,0.54,25.0,0.14,3.93,34.48,10.03,29.73,2.3,2.44,2.17,10.3,0.41,1.36,16.27,79.17,3.25,58.33,5.02,91.89,4.34,81.25,14.37,84.91,0.68,40.0,16.08,16.04,0.15,1.36,0.14,0.0,0.68,40.0,0.41,1.49,63.64,0.95,28.57,0.41,66.67,0.27,0.41,2.17,68.75,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.08,0,0,English Championship,Wingers,0,0
S. Dembélé,Peterborough United,Peterborough United,"CF, LW, LAMF",25,1200000,2022-06-30,9,657,2,1.7,0,0.74,27.4,44.5,Scotland,"Scotland, Côte d'Ivoire",right,173,67,no,4.93,5.62,60.98,0.27,50.0,0.41,0.53,0.0,1.1,1.42,1.1,1,0.14,0,0.0,4.93,0.27,2,0.27,0.23,0,0.0,11,1.51,36.36,18.182,0.0,0.55,75.0,0.27,50.0,0.27,100.0,0.14,6.71,48.98,17.53,39.06,1.92,1.64,1.23,13.97,0.96,2.74,23.97,77.71,5.89,62.79,5.07,83.78,7.26,83.02,23.01,79.17,0.41,0.0,13.7,13.95,0.1,0.82,0.0,0.0,1.64,41.67,0.0,3.29,66.67,2.05,60.0,1.51,18.18,1.23,0.41,2.74,80.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,English Championship,Wingers,0,0
L. Bacuna,Cardiff City,Cardiff City,"AMF, RW, LWF",30,3000000,2023-06-30,8,642,1,1.01,0,0.37,22.01,36.31,Netherlands,"Netherlands, Curaçao",right,187,77,no,5.19,5.33,68.42,3.08,27.27,0.0,0.0,0.0,1.54,2.1,0.98,1,0.14,0,0.0,2.24,0.14,1,0.14,0.14,1,0.14,6,0.84,50.0,16.667,0.0,0.84,66.67,0.42,66.67,0.42,66.67,0.14,1.82,61.54,6.45,23.91,1.26,0.84,0.7,9.11,0.28,0.28,16.68,77.31,4.35,58.06,4.21,93.33,5.19,75.68,14.58,82.69,1.26,22.22,16.21,22.35,0.05,0.42,0.14,0.0,0.28,50.0,0.28,1.96,57.14,0.98,42.86,0.56,25.0,0.42,0.42,1.96,57.14,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0,0.0,0,0,English Championship,Wingers,0,0
B. Osborn,Sheffield United,Sheffield United,"LAMF, LW, LB",27,2000000,2022-06-30,8,639,2,1.79,0,1.03,14.51,52.43,England,England,left,176,75,no,7.04,4.08,72.41,0.7,20.0,0.85,1.64,0.14,3.24,6.27,0.0,0,0.0,0,0.0,4.79,0.28,2,0.28,0.25,0,0.0,8,1.13,25.0,25.0,0.0,4.08,41.38,4.08,41.38,0.0,0.0,0.28,3.66,65.38,6.06,53.49,2.11,1.55,0.85,36.2,2.82,0.42,46.76,80.42,13.94,67.68,10.28,93.15,13.66,81.44,39.44,89.29,3.24,21.74,17.17,26.76,0.14,0.99,0.0,0.14,1.13,37.5,0.42,4.79,55.88,4.65,60.61,1.27,33.33,0.85,1.69,9.72,79.71,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14,0,0,English Championship,Wingers,0,0
K. Naughton,Swansea City,Swansea City,"CB, RWB",32,1000000,2022-06-30,7,622,0,0.12,0,0.09,8.54,54.24,England,"England, Republic of Ireland",right,179,73,no,5.79,3.47,70.83,1.16,25.0,0.14,0.26,0.43,3.18,5.69,0.14,1,0.14,0,0.0,0.43,0.0,0,0.0,0.02,0,0.0,2,0.29,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,33.33,2.6,27.78,0.29,3.62,0.87,51.51,0.43,0.29,72.78,93.24,27.78,87.5,8.54,96.61,26.33,99.45,68.73,95.37,4.05,57.14,17.27,36.64,0.01,0.29,0.0,0.0,0.0,0.0,0.0,8.54,76.27,0.72,40.0,0.58,25.0,0.43,0.0,9.55,75.76,0,0.0,0,0.0,0,0,0,0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0,0.0,0,0,English Championship,Wingers,0,0
M. Bola,Middlesbrough,Middlesbrough,"LB, LWB",23,1800000,2024-06-30,7,617,1,0.13,1,0.32,11.67,50.0,England,"England, Nigeria",left,185,78,no,7.15,4.67,50.0,1.46,40.0,0.15,0.2,0.44,4.67,6.4,0.88,2,0.29,0,0.0,2.48,0.15,1,0.15,0.02,0,0.0,2,0.29,50.0,50.0,0.15,2.92,35.0,2.77,36.84,0.15,0.0,0.29,1.6,63.64,2.92,45.0,0.29,0.15,0.15,21.44,0.73,0.58,32.09,77.27,13.86,67.37,5.69,92.31,7.29,86.0,25.24,89.6,4.08,28.57,22.14,37.58,0.05,0.44,0.0,0.15,0.29,100.0,0.29,7.15,61.22,3.35,56.52,1.02,42.86,0.58,1.31,7.44,80.39,0,0.0,0,0.0,0,0,0,0,0.0,0.0,1.46,0.0,0.0,0.88,0.0,0,0.73,0,0,English Championship,Wingers,0,0
H. Toffolo,Huddersfield Town,Huddersfield Town,"LWB, LB",26,1800000,2022-06-30,7,617,1,1.27,2,1.17,16.34,46.43,England,England,left,183,71,no,5.25,5.54,44.74,2.33,43.75,0.29,0.39,0.0,2.48,3.36,0.88,0,0.0,0,0.0,2.77,0.15,1,0.15,0.18,0,0.0,7,1.02,28.57,14.286,0.29,3.35,26.09,3.35,26.09,0.0,0.0,0.15,2.48,58.82,5.25,52.78,1.9,2.48,1.31,28.74,0.73,0.88,39.24,77.7,13.42,68.48,7.73,90.57,9.63,77.27,31.22,88.79,4.67,40.63,19.72,37.0,0.17,0.73,0.0,0.15,0.15,100.0,0.44,5.25,61.11,3.06,42.86,0.29,50.0,1.17,0.88,8.46,72.41,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,English Championship,Wingers,0,0
O. Turton,Huddersfield Town,Huddersfield Town,"RWB, RB",28,400000,2023-06-30,10,613,0,0.34,0,0.06,17.91,43.44,England,England,right,180,75,no,7.78,5.58,65.79,4.55,25.81,0.44,0.54,0.0,3.67,4.52,1.03,3,0.44,0,0.0,2.06,0.0,0,0.0,0.05,0,0.0,2,0.29,0.0,0.0,0.0,2.5,52.94,0.0,0.0,2.5,52.94,0.15,1.47,50.0,3.38,34.78,0.44,0.73,0.15,25.4,1.91,0.73,33.62,75.55,12.33,55.95,6.75,93.48,8.37,85.96,27.46,85.03,3.82,23.08,18.94,34.27,0.01,0.15,0.15,0.0,0.29,0.0,0.29,3.67,40.0,2.06,57.14,0.59,0.0,0.0,1.17,7.78,52.83,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0,0.0,0,0,English Championship,Wingers,0,0
