Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",League,Focus Position,Rank,Status
S. Boyd,Finn Harps,Finn Harps,CF,23,10000,2021-12-31,20,598,1,2.42,0,0.53,39.88,42.64,Republic of Ireland,Republic of Ireland,right,195,83,no,4.06,5.42,30.56,18.06,55.83,0.3,0.47,0.0,2.11,3.28,3.76,5,0.75,0,0.0,2.86,0.15,1,0.15,0.36,1,0.15,16,2.41,56.25,6.25,0.0,0.45,33.33,0.15,100.0,0.3,0.0,0.0,1.96,61.54,8.28,41.82,2.86,0.45,0.15,10.84,2.71,1.81,17.31,53.91,3.31,27.27,4.21,78.57,3.31,45.45,16.4,55.05,0.45,33.33,14.92,4.03,0.08,0.9,0.3,0.0,0.6,25.0,0.15,1.66,36.36,1.05,28.57,0.45,33.33,0.45,0.15,2.11,35.71,0,,0,,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Strikers,0,0
D. Williams,Longford Town,Longford Town,"CF, AMF",21,10000,2021-12-31,17,794,2,0.78,0,0.43,17.57,32.9,Republic of Ireland,Republic of Ireland,right,173,58,yes,2.95,2.83,64.0,2.15,10.53,0.23,0.31,0.0,0.91,1.24,0.79,1,0.11,0,0.0,1.13,0.23,2,0.23,0.09,0,0.0,6,0.68,33.33,33.333,0.0,0.68,16.67,0.23,50.0,0.45,0.0,0.11,1.36,50.0,8.61,31.58,1.47,0.57,0.23,12.02,2.15,2.95,18.48,77.91,3.85,47.06,7.03,90.32,3.29,82.76,17.34,81.05,0.57,60.0,16.42,12.14,0.05,0.57,0.0,0.0,0.68,16.67,0.11,1.36,33.33,0.79,28.57,0.45,0.0,0.68,0.0,0.57,40.0,0,,0,,0,0,0,0,,,0.0,,,0.11,0.11,100.0,0.0,0,0.0,Irish Premier Division,Strikers,0,0
P. Patterson,Waterford FC,Waterford FC,"LAMF, AMF, CF",21,0,2021-12-31,6,518,1,1.28,0,0.02,19.46,36.61,England,"England, Scotland",right,178,67,no,4.86,4.69,55.56,1.56,22.22,0.0,0.0,0.0,2.26,2.85,0.17,0,0.0,0,0.0,2.61,0.17,1,0.17,0.22,0,0.0,7,1.22,42.86,14.286,0.0,0.69,25.0,0.35,0.0,0.35,50.0,0.0,3.82,45.45,10.08,31.03,1.91,0.69,1.74,13.9,0.35,1.56,22.24,85.16,4.34,72.0,5.91,94.12,6.25,83.33,20.85,88.33,0.69,50.0,15.44,18.67,0.0,0.35,0.17,0.17,0.52,33.33,0.0,2.61,80.0,0.69,75.0,0.69,25.0,0.52,0.17,2.26,61.54,0,,0,,0,0,0,0,,,0.17,,,0.52,0.0,0.0,0.35,0,0.0,Irish Premier Division,Strikers,0,0
W. Zahibo,Dundalk,Dundalk,"DMF, LDMF, LCMF",28,350000,2021-12-31,12,630,0,0.93,0,0.16,24.86,51.72,France,"France, Central African Republic",right,189,77,no,10.43,9.14,67.19,6.0,59.52,0.71,1.07,0.0,3.57,5.36,2.0,3,0.43,0,0.0,0.86,0.0,0,0.0,0.13,0,0.0,8,1.14,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,33.33,6.14,37.21,1.14,0.0,0.0,31.29,0.14,0.86,47.43,84.34,17.86,70.4,6.57,93.48,17.0,96.64,42.14,88.14,5.29,54.05,19.22,36.1,0.02,0.14,0.14,0.0,0.29,50.0,0.14,9.57,67.16,1.14,25.0,0.71,80.0,0.43,0.0,10.29,70.83,0,,0,,0,0,0,0,,,0.43,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
D. Mandroiu,Shamrock Rovers,Shamrock Rovers,"AMF, RCMF, LCMF",22,275000,2022-12-31,24,1866,8,3.55,1,4.11,22.52,39.61,Republic of Ireland,Republic of Ireland,,0,0,no,4.53,5.74,54.62,1.59,33.33,0.14,0.25,0.1,1.25,2.15,1.54,2,0.1,0,0.0,3.57,0.39,8,0.39,0.17,1,0.05,43,2.07,46.51,18.605,0.05,1.45,26.67,0.68,35.71,0.72,20.0,0.29,4.29,43.82,11.96,34.68,1.69,1.64,1.25,38.59,2.46,2.07,49.44,83.22,13.17,70.7,11.19,93.97,15.63,83.02,44.08,87.42,3.95,56.1,17.81,42.73,0.2,2.22,0.0,0.1,1.16,29.17,0.39,7.48,74.84,3.95,45.12,2.03,28.57,1.4,0.39,7.14,81.76,0,,0,,0,0,0,0,,,0.14,,,0.92,0.29,50.0,3.38,0,0.0,Irish Premier Division,Central Midfielders,0,0
R. Towell,Shamrock Rovers,Shamrock Rovers,"RCMF, AMF, LCMF",30,225000,2024-12-31,7,548,1,0.97,0,0.23,12.15,48.65,Republic of Ireland,Republic of Ireland,right,173,66,no,4.43,3.12,63.16,3.12,52.63,0.16,0.28,0.0,2.3,3.96,1.15,0,0.0,0,0.0,2.46,0.16,1,0.16,0.16,0,0.0,8,1.31,62.5,12.5,0.0,1.64,60.0,0.0,0.0,1.48,66.67,0.16,0.66,50.0,2.46,33.33,1.15,1.97,0.66,40.07,1.64,0.82,51.57,87.26,15.6,74.74,11.66,98.59,16.59,89.11,45.99,92.14,3.94,41.67,16.85,36.9,0.04,0.49,0.0,0.0,0.49,66.67,0.16,7.88,68.75,3.28,75.0,1.31,50.0,1.31,0.99,4.93,86.67,0,,0,,0,0,0,0,,,0.16,,,0.33,0.33,50.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
S. Stanton,Dundalk,Dundalk,"LCMF, LDMF, RDMF",27,200000,2021-12-31,20,1501,0,1.37,0,0.77,19.25,59.5,Scotland,Scotland,left,180,64,no,11.45,7.26,67.77,2.28,63.16,0.78,1.12,0.12,5.76,8.25,0.9,1,0.06,0,0.0,2.28,0.0,0,0.0,0.08,0,0.0,8,0.48,75.0,0.0,0.0,0.3,20.0,0.18,0.0,0.12,50.0,0.12,2.88,62.5,6.06,54.46,0.84,1.44,0.72,23.5,0.12,1.02,39.99,82.61,12.59,70.48,5.52,93.48,15.83,87.5,35.62,87.37,4.08,45.59,19.3,36.43,0.05,0.48,0.0,0.0,0.24,25.0,0.06,6.96,68.1,0.96,31.25,0.54,22.22,0.3,0.06,6.9,71.3,0,,0,,0,0,0,0,,,0.3,,,0.12,0.06,100.0,0.18,0,0.0,Irish Premier Division,Central Midfielders,0,0
S. Murray,Dundalk,Dundalk,"AMF, RCMF, RAMF",27,200000,2021-12-31,16,868,1,1.44,0,0.8,20.12,40.21,England,"England, Republic of Ireland",both,175,68,no,5.91,5.29,56.86,4.25,39.02,0.31,0.49,0.0,2.59,4.12,0.93,1,0.1,0,0.0,1.97,0.1,1,0.1,0.15,0,0.0,13,1.35,15.38,7.692,0.0,2.28,40.91,1.04,40.0,1.24,41.67,0.1,2.28,31.82,6.32,31.15,2.8,0.83,0.73,18.46,1.56,0.93,27.58,79.7,7.78,69.33,6.01,91.38,9.12,81.82,23.02,85.14,2.38,60.87,18.73,26.16,0.08,0.73,0.0,0.0,0.31,33.33,0.31,3.63,74.29,2.07,55.0,0.52,40.0,0.73,0.83,5.08,81.63,0,,0,,0,0,0,0,,,0.1,,,0.21,0.0,0.0,0.62,0,0.0,Irish Premier Division,Central Midfielders,0,0
C. McCann,Shamrock Rovers,Shamrock Rovers,"LCMF, RCMF, DMF",34,200000,2021-12-31,16,986,0,0.43,0,0.78,15.24,49.7,Republic of Ireland,Republic of Ireland,left,185,75,no,7.94,5.11,44.64,2.74,56.67,0.64,1.11,0.55,5.02,8.73,1.73,6,0.55,0,0.0,1.1,0.0,0,0.0,0.04,0,0.0,11,1.0,18.18,0.0,0.0,0.27,0.0,0.18,0.0,0.09,0.0,0.0,1.64,38.89,5.11,44.64,0.46,0.64,0.55,37.42,0.46,1.19,50.75,84.71,15.97,70.29,3.92,93.02,21.72,92.86,44.0,90.25,6.48,50.7,20.28,38.63,0.07,0.46,0.0,0.0,0.55,50.0,0.18,10.31,72.57,2.1,47.83,1.37,26.67,0.73,0.0,9.68,78.3,0,,0,,0,0,0,0,,,0.18,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
D. Devoy,Bohemians,Bohemians,"RCMF, LCMF, RDMF",19,150000,2021-12-31,22,1622,2,3.49,1,1.96,23.91,51.28,Republic of Ireland,Republic of Ireland,,0,0,no,9.04,7.27,63.36,1.89,29.41,0.11,0.18,0.06,4.33,6.99,0.89,1,0.06,0,0.0,4.99,0.11,1,0.06,0.19,0,0.0,35,1.94,22.86,5.714,0.06,2.05,37.84,1.05,31.58,1.0,44.44,0.22,5.49,60.61,10.71,47.15,1.55,2.89,2.33,27.85,0.5,1.61,49.22,82.86,14.48,65.9,8.32,97.33,19.92,89.42,41.45,88.09,5.77,61.54,20.44,38.52,0.11,0.89,0.06,0.0,1.33,33.33,0.83,8.71,70.7,3.61,47.69,2.16,38.46,1.22,0.78,8.05,80.0,0,,0,,0,0,0,0,,,0.39,,,0.61,0.17,0.0,0.17,1,100.0,Irish Premier Division,Central Midfielders,0,0
C. Forrester,St. Patrick's Ath.,St. Patrick's Ath.,"RCMF, LCMF, RDMF",28,125000,2022-12-31,27,2450,8,5.38,3,3.92,18.92,47.96,Republic of Ireland,Republic of Ireland,right,175,69,no,6.87,5.73,58.97,1.91,51.92,0.55,0.86,0.11,2.94,4.6,1.03,3,0.11,0,0.0,2.57,0.29,6,0.22,0.2,0,0.0,47,1.73,38.3,17.021,0.11,0.96,26.92,0.44,0.0,0.48,46.15,0.04,2.79,50.0,7.57,38.35,1.32,0.88,0.48,33.76,0.59,1.29,49.81,80.83,14.22,60.21,10.62,95.16,16.93,87.64,42.24,89.13,6.65,35.36,20.07,38.31,0.14,1.25,0.04,0.0,0.99,25.93,0.33,9.96,62.73,2.87,37.18,1.76,29.17,0.96,0.26,7.49,74.51,0,,0,,0,0,0,0,,,1.29,,,0.77,0.15,0.0,1.29,2,100.0,Irish Premier Division,Central Midfielders,0,0
A. O'Reilly,Preston North End,Waterford FC,"RCMF, LCMF, AMF",20,100000,2023-06-30,17,1568,0,1.5,3,0.57,26.06,43.39,Republic of Ireland,Republic of Ireland,right,168,60,no,9.01,7.98,56.12,2.81,30.61,0.75,0.9,0.06,3.79,4.58,1.84,4,0.23,0,0.0,2.35,0.0,0,0.0,0.09,0,0.0,16,0.92,31.25,0.0,0.17,0.92,31.25,0.4,28.57,0.52,33.33,0.29,3.79,45.45,10.85,41.8,0.86,0.98,0.75,12.91,0.98,2.64,25.31,77.32,7.29,59.06,5.34,97.85,9.53,83.13,21.35,83.6,3.04,47.17,20.04,39.4,0.03,0.17,0.06,0.0,0.34,16.67,0.17,4.02,54.29,1.61,39.29,0.69,16.67,0.52,0.34,3.21,69.64,0,,0,,0,0,0,0,,,0.4,,,0.0,0.0,0.0,0.06,0,0.0,Irish Premier Division,Central Midfielders,0,0
N. Morahan,Sligo Rovers,Sligo Rovers,"RDMF, LDMF",21,100000,2021-12-31,23,1977,0,0.19,1,0.65,19.58,49.53,Republic of Ireland,Republic of Ireland,right,176,66,no,10.38,7.97,67.43,3.0,31.82,0.23,0.31,0.32,4.78,6.55,1.09,3,0.14,0,0.0,1.05,0.0,0,0.0,0.01,0,0.0,3,0.14,33.33,0.0,0.05,0.05,100.0,0.0,0.0,0.05,100.0,0.0,1.59,51.43,5.24,31.3,0.27,0.23,0.27,21.99,0.32,0.32,40.61,86.43,10.56,70.69,7.56,95.78,14.34,91.75,37.06,89.43,3.51,54.55,17.21,32.72,0.03,0.32,0.0,0.0,0.32,42.86,0.14,4.6,75.25,0.77,35.29,0.59,30.77,0.27,0.05,4.83,62.26,0,,0,,0,0,0,0,,,0.46,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
P. McEleney,Dundalk,Dundalk,"AMF, LCMF, RW",28,100000,2021-12-31,20,1483,2,1.72,1,2.78,23.55,47.94,Northern Ireland,"Northern Ireland, Republic of Ireland",right,176,71,no,7.95,5.89,74.23,1.76,41.38,0.18,0.26,0.06,3.4,4.79,0.61,2,0.12,0,0.0,5.16,0.12,2,0.12,0.1,0,0.0,20,1.21,45.0,10.0,0.06,3.46,43.86,2.25,43.24,1.15,47.37,0.91,4.98,47.56,11.83,36.41,1.4,1.4,1.46,32.23,0.61,0.73,52.13,76.6,18.08,64.77,7.59,92.0,19.36,82.13,39.69,83.49,9.22,58.55,21.82,38.61,0.17,1.7,0.12,0.0,2.31,31.58,1.09,10.26,62.72,7.16,49.15,3.52,29.31,2.25,1.64,11.83,82.56,0,,0,,0,0,0,0,,,0.06,,,0.42,0.12,100.0,0.61,0,0.0,Irish Premier Division,Central Midfielders,0,0
W. Seymore,Finn Harps,Finn Harps,"LCMF, LDMF, RDMF",29,100000,2021-12-31,27,2415,1,0.61,2,0.73,20.01,52.7,England,"England, United States",right,183,82,no,9.35,7.98,68.22,2.09,53.57,0.19,0.24,0.11,3.73,4.74,1.3,5,0.19,0,0.0,1.57,0.04,1,0.04,0.02,0,0.0,24,0.89,20.83,4.167,0.07,0.34,55.56,0.11,33.33,0.22,66.67,0.0,2.12,50.88,5.89,35.44,0.26,0.41,0.26,14.87,0.63,0.71,27.76,74.09,12.07,61.73,3.99,91.59,7.9,82.55,24.0,78.88,3.47,41.94,19.33,34.8,0.03,0.37,0.07,0.0,0.3,37.5,0.11,5.93,57.23,1.23,39.39,0.45,25.0,0.34,0.19,6.11,62.8,0,,0,,0,0,0,0,,,0.78,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
W. Patching,Dundalk,Dundalk,"AMF, LCMF",22,100000,2021-12-31,23,2148,6,4.3,6,5.67,26.1,44.14,England,England,right,185,70,no,6.45,5.7,55.88,3.98,37.89,0.17,0.25,0.25,3.1,4.6,1.51,3,0.13,0,0.0,4.15,0.25,3,0.13,0.18,0,0.0,38,1.59,52.63,15.789,0.25,1.42,29.41,0.84,25.0,0.59,35.71,0.17,4.82,58.26,12.86,43.65,1.09,1.72,1.01,22.12,1.34,2.64,37.33,79.12,12.03,61.67,8.3,94.44,11.27,83.27,31.22,85.77,4.73,49.56,18.96,38.82,0.24,2.01,0.04,0.0,0.59,14.29,0.38,6.2,54.73,2.68,42.19,1.01,25.0,0.92,0.46,5.74,73.72,0,,0,,0,0,0,0,,,0.34,,,3.48,0.59,64.29,3.06,3,100.0,Irish Premier Division,Central Midfielders,0,0
G. O'Neil,Shamrock Rovers,Shamrock Rovers,"LCMF, RCMF",26,100000,2021-12-31,22,1681,1,1.12,0,0.32,13.49,56.75,Republic of Ireland,Republic of Ireland,,0,0,no,8.67,5.94,63.96,2.73,56.86,0.59,0.99,0.27,4.28,7.16,0.96,3,0.16,0,0.0,0.59,0.05,1,0.05,0.06,0,0.0,10,0.54,10.0,10.0,0.0,0.21,50.0,0.11,0.0,0.11,100.0,0.0,0.59,45.45,2.14,47.5,0.32,0.59,0.11,42.67,0.32,1.12,56.32,89.45,18.1,77.22,7.12,96.99,23.61,96.15,50.54,93.11,5.57,57.69,18.31,34.35,0.02,0.64,0.0,0.05,0.43,37.5,0.11,8.3,69.68,1.28,41.67,1.18,22.73,0.37,0.16,8.51,79.25,0,,0,,0,0,0,0,,,0.59,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
J. Thomson,Derry City,Derry City,"RCMF, RDMF",24,100000,2022-01-01,19,1405,4,2.37,2,1.91,15.57,48.15,Scotland,Scotland,right,177,70,no,7.81,5.57,63.22,2.75,27.91,0.64,0.94,0.13,3.65,5.34,1.6,4,0.26,1,0.06,2.05,0.26,4,0.26,0.15,0,0.0,26,1.67,42.31,15.385,0.13,1.41,36.36,0.32,40.0,1.09,35.29,0.13,1.79,46.43,3.97,41.94,1.22,0.58,0.64,23.12,0.64,0.77,36.9,78.82,10.51,62.8,7.37,93.91,12.88,83.08,30.94,85.71,4.74,44.59,18.63,33.45,0.12,0.83,0.06,0.0,0.06,0.0,0.38,6.21,63.92,2.24,40.0,0.45,71.43,0.58,0.58,5.44,72.94,0,,0,,0,0,0,0,,,0.51,,,0.96,0.19,66.67,1.41,0,0.0,Irish Premier Division,Central Midfielders,0,0
A. Coote,Bohemians,Bohemians,"RW, LDMF",23,75000,2021-12-31,21,1674,4,1.64,1,2.44,20.7,44.42,Scotland,Scotland,right,170,65,no,7.74,6.29,53.85,2.04,55.26,0.59,0.9,0.11,3.76,5.74,1.72,7,0.38,0,0.0,3.17,0.22,3,0.16,0.09,0,0.0,24,1.29,25.0,12.5,0.05,1.51,32.14,0.11,50.0,1.4,30.77,0.27,4.25,50.63,9.09,40.83,1.29,1.61,1.02,18.33,1.02,1.02,31.99,79.33,9.19,66.08,6.51,94.21,10.54,84.69,28.12,84.89,2.42,42.22,17.72,26.43,0.13,0.97,0.05,0.05,0.32,66.67,0.32,4.35,66.67,1.77,63.64,0.05,100.0,0.59,0.48,4.62,62.79,0,,0,,0,0,0,0,,,0.16,,,1.29,0.16,0.0,1.67,0,0.0,Irish Premier Division,Central Midfielders,0,0
J. Lennon,St. Patrick's Ath.,St. Patrick's Ath.,"RCMF, DMF, RDMF",23,75000,2021-12-31,20,1352,0,0.35,0,0.87,20.3,53.44,Republic of Ireland,Republic of Ireland,right,178,0,no,11.38,8.92,66.42,3.0,46.67,1.2,1.75,0.07,4.26,6.23,1.73,7,0.47,0,0.0,0.73,0.0,0,0.0,0.02,0,0.0,12,0.8,8.33,0.0,0.0,0.47,14.29,0.13,50.0,0.33,0.0,0.07,1.13,41.18,4.39,36.36,0.13,0.4,0.33,31.22,0.0,1.4,49.13,83.06,16.38,69.51,7.06,93.4,17.97,91.48,43.67,88.41,4.99,42.67,19.29,38.7,0.06,0.4,0.07,0.0,0.27,50.0,0.07,7.46,65.18,0.93,28.57,0.87,61.54,0.33,0.2,7.99,66.67,0,,0,,0,0,0,0,,,1.07,,,0.2,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
R. Benson,St. Patrick's Ath.,St. Patrick's Ath.,"LCMF, AMF",29,75000,2021-12-31,17,1522,5,3.67,3,2.89,15.43,52.87,Republic of Ireland,Republic of Ireland,left,178,75,no,6.27,4.73,65.0,2.42,51.22,0.3,0.44,0.06,2.9,4.34,0.59,1,0.06,0,0.0,2.37,0.3,4,0.24,0.22,1,0.06,18,1.06,33.33,27.778,0.18,2.54,23.26,2.19,16.22,0.35,66.67,0.83,2.37,55.0,6.27,50.0,2.31,1.24,0.89,16.73,0.71,1.3,27.38,77.97,6.15,58.65,7.39,98.4,8.28,76.43,23.36,87.34,1.66,28.57,17.48,30.96,0.17,1.36,0.0,0.06,0.35,33.33,0.35,1.83,58.06,2.48,30.95,0.53,22.22,0.71,0.47,2.66,57.78,0,,0,,0,0,0,0,,,0.0,,,0.53,0.0,0.0,2.54,1,100.0,Irish Premier Division,Central Midfielders,0,0
G. Sloggett,Dundalk,Dundalk,"RCMF, RDMF, LCMF",25,75000,2021-12-31,20,1210,1,0.67,0,0.06,21.79,54.95,Republic of Ireland,Republic of Ireland,right,188,0,no,10.71,8.48,64.91,4.24,40.35,0.15,0.21,0.37,5.06,7.16,1.49,3,0.22,0,0.0,1.79,0.07,1,0.07,0.05,0,0.0,9,0.67,44.44,11.111,0.0,0.37,20.0,0.07,0.0,0.3,25.0,0.22,1.71,73.91,4.98,56.72,0.52,0.67,0.45,23.43,0.52,0.97,40.31,82.1,11.98,62.11,6.02,97.53,16.51,90.54,36.3,85.86,3.64,51.02,20.84,41.17,0.0,0.22,0.0,0.0,0.45,33.33,0.0,5.88,72.15,0.82,36.36,0.37,20.0,0.37,0.15,6.99,54.26,0,,0,,0,0,0,0,,,0.67,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
K. Buckley,Bohemians,Bohemians,"RDMF, RCMF, LCMF",29,75000,2021-12-31,21,1759,2,1.01,1,0.56,20.16,59.39,Republic of Ireland,Republic of Ireland,,177,69,no,12.69,10.34,68.81,2.61,56.86,0.51,0.81,0.36,5.07,8.01,1.13,3,0.15,0,0.0,1.18,0.1,2,0.1,0.05,0,0.0,11,0.56,45.45,18.182,0.05,0.41,75.0,0.05,100.0,0.31,66.67,0.05,0.82,68.75,3.07,45.0,0.51,0.67,0.26,22.87,0.15,1.13,46.25,84.85,14.02,73.72,8.9,93.68,17.7,90.46,40.83,87.34,5.01,65.31,19.0,36.31,0.03,0.61,0.0,0.0,0.1,50.0,0.1,5.58,71.56,1.07,71.43,0.46,44.44,0.51,0.26,7.88,70.78,0,,0,,0,0,0,0,,,0.82,,,0.1,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
R. Murray,Drogheda United,Drogheda United,"AMF, CF, LCMF",30,75000,2021-12-31,22,1358,1,1.13,3,2.72,18.42,41.73,Republic of Ireland,Republic of Ireland,right,170,70,no,5.77,5.5,54.22,2.32,34.29,0.2,0.26,0.0,2.58,3.33,1.39,4,0.27,0,0.0,2.25,0.07,1,0.07,0.07,0,0.0,24,1.59,37.5,4.167,0.2,1.39,33.33,0.66,30.0,0.66,40.0,0.33,1.59,54.17,7.16,38.89,0.99,0.46,0.07,23.06,0.86,1.66,35.66,81.04,10.8,69.94,7.95,95.0,11.93,83.33,30.42,85.4,3.91,62.71,19.06,26.69,0.18,1.19,0.07,0.0,0.73,45.45,0.13,5.3,68.75,2.52,55.26,0.99,46.67,1.13,0.4,5.17,82.05,0,,0,,0,0,0,0,,,0.2,,,3.31,0.46,42.86,3.58,0,0.0,Irish Premier Division,Central Midfielders,0,0
A. Bolger,Cork City,Longford Town,"AMF, LCMF",21,50000,2021-12-31,11,692,0,0.1,0,0.3,28.35,42.66,Republic of Ireland,Republic of Ireland,right,170,68,no,8.58,8.84,55.88,4.94,21.05,0.39,0.51,0.26,3.25,4.21,2.73,3,0.39,0,0.0,2.08,0.0,0,0.0,0.01,0,0.0,6,0.78,33.33,0.0,0.0,0.91,28.57,0.26,0.0,0.65,40.0,0.0,2.47,57.89,8.84,39.71,0.78,1.04,0.91,16.0,1.04,2.47,29.91,70.87,11.71,52.22,5.33,100.0,6.63,80.39,25.49,79.59,3.51,18.52,18.15,36.82,0.04,0.26,0.0,0.0,0.26,50.0,0.26,4.94,39.47,1.43,45.45,0.65,20.0,0.26,0.26,4.42,55.88,0,,0,,0,0,0,0,,,0.13,,,0.39,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
G. Bolger,Sligo Rovers,Sligo Rovers,"RDMF, LDMF",33,50000,2021-12-31,19,1796,0,0.31,1,2.86,25.81,57.67,Republic of Ireland,Republic of Ireland,right,184,80,no,13.38,11.48,64.63,4.01,63.75,0.35,0.49,0.3,5.61,7.81,2.2,9,0.45,0,0.0,1.6,0.0,0,0.0,0.02,0,0.0,12,0.6,25.0,0.0,0.05,0.6,58.33,0.25,60.0,0.35,57.14,0.2,1.75,54.29,6.51,47.69,0.4,0.9,0.25,25.81,0.25,1.9,46.8,77.73,19.59,66.75,5.36,94.39,14.63,85.27,37.28,85.62,8.92,46.07,19.88,39.18,0.14,1.05,0.05,0.0,0.3,50.0,0.35,10.52,65.71,2.0,45.0,0.85,29.41,0.75,0.35,9.82,75.51,0,,0,,0,0,0,0,,,0.35,,,0.9,0.0,0.0,1.15,0,0.0,Irish Premier Division,Central Midfielders,0,0
C. Shields,Linfield,Dundalk,"RCB, DMF, RCMF",30,50000,2024-06-30,16,1490,3,1.22,1,0.68,21.62,62.57,Republic of Ireland,Republic of Ireland,right,188,70,no,10.39,7.07,66.67,3.68,63.93,1.09,1.48,0.42,4.59,6.26,1.15,5,0.3,0,0.0,2.11,0.18,2,0.12,0.07,1,0.06,9,0.54,44.44,33.333,0.06,1.45,37.5,0.18,33.33,1.27,38.1,0.24,1.75,65.52,6.4,59.43,0.48,1.15,0.72,34.61,0.36,2.96,54.06,82.35,21.56,70.87,5.68,96.81,23.19,90.89,42.89,89.72,9.85,56.44,24.1,40.6,0.04,0.42,0.0,0.0,0.24,75.0,0.12,10.63,68.75,1.69,46.43,0.42,28.57,0.48,0.6,13.65,74.34,0,,0,,0,0,0,0,,,0.91,,,0.18,0.0,0.0,0.0,1,100.0,Irish Premier Division,Central Midfielders,0,0
D. Cawley,Sligo Rovers,Sligo Rovers,"AMF, RCMF",29,50000,2022-12-31,16,632,1,0.79,0,0.69,23.07,41.98,Republic of Ireland,Republic of Ireland,right,178,76,no,8.69,7.55,62.26,3.84,40.74,0.85,1.33,0.28,3.13,4.89,2.56,4,0.57,0,0.0,2.28,0.14,1,0.14,0.11,0,0.0,8,1.14,25.0,12.5,0.0,1.14,62.5,0.14,0.0,1.0,71.43,0.14,2.14,46.67,7.26,21.57,2.71,0.28,0.14,22.93,1.0,0.57,39.16,74.18,11.68,46.34,8.4,96.61,9.54,76.12,32.33,83.26,5.84,26.83,15.63,20.74,0.1,1.14,0.0,0.0,0.85,33.33,0.43,6.84,52.08,2.85,50.0,1.57,9.09,1.14,0.57,5.27,67.57,0,,0,,0,0,0,0,,,0.43,,,0.28,0.0,0.0,0.71,0,0.0,Irish Premier Division,Central Midfielders,0,0
