Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",League,Focus Position,Rank,Status
M. Doyle,Drogheda United,Drogheda United,"LAMF, AMF, CF",22,50000,2021-12-31,27,2177,11,9.27,2,1.6,24.23,37.88,Republic of Ireland,Republic of Ireland,,0,0,no,5.87,5.29,60.16,4.71,25.44,0.21,0.26,0.0,2.48,3.17,1.03,3,0.12,0,0.0,2.85,0.45,9,0.37,0.38,3,0.12,51,2.11,43.14,21.569,0.08,0.87,9.52,0.58,7.14,0.25,0.0,0.08,4.3,40.38,8.97,35.02,3.22,1.53,0.95,13.23,2.11,1.36,19.27,65.67,5.87,52.82,3.84,88.17,5.71,67.39,17.2,70.43,1.24,36.67,17.23,21.41,0.07,0.5,0.0,0.0,0.7,17.65,0.08,2.44,52.54,0.99,25.0,0.41,10.0,0.54,0.12,3.64,56.82,0,,0,,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0.0,2,100.0,Irish Premier Division,Strikers,0,0
J. Akintunde,Derry City,Derry City,"CF, LAMF, LW",25,50000,2022-12-31,25,2153,2,2.95,3,1.46,33.94,32.02,England,"England, Nigeria",right,178,80,no,4.77,4.72,60.18,4.81,17.39,0.17,0.24,0.13,1.76,2.5,1.71,3,0.13,0,0.0,2.88,0.08,2,0.08,0.12,0,0.0,20,0.84,30.0,10.0,0.13,0.67,37.5,0.46,45.45,0.17,25.0,0.29,4.72,47.79,17.52,26.49,2.26,1.34,0.46,8.95,1.25,1.55,19.27,83.73,2.38,80.7,7.23,91.33,5.1,83.61,18.43,85.49,0.21,80.0,14.12,5.38,0.06,0.54,0.0,0.04,0.17,75.0,0.29,1.09,80.77,0.79,73.68,0.13,66.67,0.79,0.25,1.34,71.88,0,,0,,0,0,0,0,,,0.0,,,0.04,0.04,0.0,0.04,0,0.0,Irish Premier Division,Strikers,0,0
D. Corcoran,Drogheda United,Drogheda United,CF,32,25000,2021-12-31,14,536,1,0.97,0,0.26,19.65,30.77,Republic of Ireland,Republic of Ireland,right,179,75,no,3.69,2.01,66.67,7.22,20.93,0.17,0.25,0.17,2.18,3.25,0.17,0,0.0,0,0.0,1.01,0.17,1,0.17,0.16,0,0.0,5,0.84,40.0,20.0,0.0,0.34,50.0,0.0,0.0,0.34,50.0,0.0,0.67,25.0,5.04,33.33,1.68,0.0,0.34,13.1,3.19,1.34,21.83,66.15,4.53,48.15,4.87,86.21,7.39,70.45,19.98,66.39,1.68,60.0,16.34,19.24,0.04,0.34,0.0,0.0,0.84,40.0,0.17,2.85,41.18,1.51,55.56,0.84,20.0,0.67,0.34,1.68,50.0,0,,0,,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Strikers,0,0
R. Manley,Longford Town,Longford Town,"CF, RW, RAMF",24,25000,2021-12-31,24,1679,3,3.75,0,0.65,31.89,34.79,Republic of Ireland,Republic of Ireland,,187,65,no,4.82,4.88,48.35,9.43,33.52,0.27,0.33,0.05,2.2,2.69,1.5,1,0.05,1,0.05,2.84,0.16,3,0.16,0.2,1,0.05,29,1.55,31.03,10.345,0.0,1.45,25.93,0.43,37.5,0.96,16.67,0.27,4.02,46.67,11.42,32.86,2.2,1.34,0.96,9.38,2.14,1.39,15.87,71.28,3.27,45.9,4.61,94.19,4.72,67.05,14.04,76.34,0.48,55.56,15.1,14.24,0.03,0.43,0.0,0.0,0.27,40.0,0.16,1.5,60.71,0.8,33.33,0.16,33.33,0.21,0.32,1.45,70.37,0,,0,,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Strikers,0,0
A. Dobbs,Longford Town,Longford Town,CF,22,25000,2021-12-31,23,1197,3,3.57,0,0.06,36.02,36.33,Republic of Ireland,Republic of Ireland,,175,80,no,5.49,4.81,48.44,12.56,46.11,0.23,0.28,0.3,2.93,3.6,2.56,1,0.08,0,0.0,2.11,0.23,2,0.15,0.27,0,0.0,19,1.43,36.84,15.789,0.0,0.6,0.0,0.23,0.0,0.38,0.0,0.08,3.68,38.78,10.6,26.24,2.33,0.6,0.45,8.5,2.93,1.43,15.41,66.34,3.76,52.0,3.61,77.08,4.06,72.22,14.06,71.66,0.75,20.0,16.24,13.51,0.0,0.15,0.08,0.08,0.38,40.0,0.08,1.65,45.45,0.68,33.33,0.45,16.67,0.15,0.0,1.28,47.06,0,,0,,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0.0,1,100.0,Irish Premier Division,Strikers,0,0
W. Fitzgerald,Derry City,Derry City,"RAMF, RW, CF",22,25000,2021-12-31,24,1386,0,0.65,1,1.22,24.55,37.3,Republic of Ireland,Republic of Ireland,,187,73,no,3.51,4.09,44.44,4.55,25.71,0.06,0.1,0.0,1.62,2.42,0.78,1,0.06,0,0.0,5.13,0.0,0,0.0,0.04,0,0.0,12,0.78,8.33,0.0,0.06,3.57,40.0,0.52,25.0,3.05,42.55,0.26,7.27,48.21,12.14,40.64,2.47,3.51,2.73,14.94,1.75,1.1,24.81,76.96,4.35,62.69,8.18,91.27,6.69,69.9,20.78,84.06,0.65,50.0,16.43,16.35,0.08,0.58,0.0,0.0,0.39,33.33,0.32,1.17,66.67,2.73,61.9,0.26,25.0,0.78,1.43,3.83,71.19,0,,0,,0,0,0,0,,,0.0,,,0.06,0.06,0.0,0.26,0,0.0,Irish Premier Division,Strikers,0,0
J. Adeyemo,Drogheda United,Drogheda United,CF,21,25000,2021-12-31,15,657,4,1.26,0,0.04,30.0,27.4,Republic of Ireland,Republic of Ireland,,0,0,no,3.84,4.79,57.14,9.18,19.4,0.14,0.16,0.0,0.96,1.09,2.05,1,0.14,1,0.14,2.6,0.55,4,0.55,0.17,0,0.0,12,1.64,41.67,33.333,0.0,0.96,28.57,0.82,33.33,0.14,0.0,0.27,3.29,50.0,9.59,22.86,3.29,0.68,0.55,10.27,3.56,0.82,12.74,70.97,2.19,37.5,4.52,96.97,3.01,63.64,11.64,74.12,0.41,33.33,14.56,10.7,0.01,0.14,0.27,0.0,0.14,0.0,0.0,1.37,30.0,0.96,28.57,0.14,0.0,0.27,0.41,0.96,57.14,0,,0,,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Strikers,0,0
C. Kavanagh,Waterford FC,Waterford FC,CF,18,10000,2021-12-31,14,707,4,3.37,1,0.13,35.39,33.09,Republic of Ireland,Republic of Ireland,,0,0,no,2.29,3.82,33.33,15.53,39.34,0.13,0.17,0.13,0.89,1.18,1.27,2,0.25,0,0.0,3.06,0.51,4,0.51,0.43,1,0.13,15,1.91,60.0,26.667,0.13,0.89,42.86,0.64,40.0,0.25,50.0,0.0,3.18,44.0,10.18,22.5,2.8,0.89,0.51,9.04,2.42,1.65,11.46,66.67,2.42,63.16,3.06,91.67,3.31,61.54,10.57,68.67,0.0,0.0,16.37,0.0,0.02,0.25,0.0,0.0,0.13,100.0,0.25,1.02,50.0,1.4,54.55,0.13,100.0,0.25,0.38,1.65,61.54,0,,0,,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0.0,1,0.0,Irish Premier Division,Strikers,0,0
P. Mutswunguma,Waterford FC,Waterford FC,"CF, LW",21,10000,2021-12-31,21,1461,1,0.94,2,1.47,24.09,28.13,England,"England, Zimbabwe",,186,73,no,6.04,6.16,48.0,3.82,16.13,0.55,0.66,0.12,2.53,3.01,2.53,4,0.25,1,0.06,1.23,0.06,1,0.06,0.06,0,0.0,11,0.68,27.27,9.091,0.12,0.55,33.33,0.37,33.33,0.18,33.33,0.0,3.02,28.57,8.87,24.31,1.36,1.05,0.68,7.45,0.86,1.29,12.14,71.57,3.14,58.82,2.71,86.36,3.02,67.35,11.27,74.86,0.31,20.0,14.55,8.25,0.09,0.43,0.0,0.0,0.06,0.0,0.25,0.8,61.54,0.62,40.0,0.12,0.0,0.43,0.18,1.79,72.41,0,,0,,0,0,0,0,,,0.06,,,0.0,0.0,0.0,0.06,0,0.0,Irish Premier Division,Strikers,0,0
J. Martin,Waterford FC,Waterford FC,"CF, LW, RAMF",22,10000,2021-12-31,24,2100,7,5.83,0,1.81,32.91,42.84,Republic of Ireland,Republic of Ireland,,185,70,no,9.77,8.01,56.68,11.96,40.86,1.63,2.03,0.09,3.6,4.48,2.1,4,0.17,0,0.0,2.01,0.3,7,0.3,0.25,3,0.13,31,1.33,35.48,22.581,0.0,0.9,19.05,0.21,0.0,0.69,25.0,0.21,2.66,48.39,7.16,37.13,2.91,0.99,0.64,12.73,2.14,0.94,22.24,66.67,5.96,45.32,4.67,92.66,6.39,67.79,19.84,71.71,1.59,29.73,16.49,17.13,0.08,0.56,0.0,0.0,0.3,28.57,0.26,2.96,42.03,1.07,36.0,0.43,20.0,0.56,0.17,3.17,60.81,0,,0,,0,0,0,0,,,0.13,,,0.0,0.0,0.0,0.04,0,0.0,Irish Premier Division,Strikers,0,0
